EVENT,ev_lat,ev_lon,dep,NET_STA,st_lat,st_lon,Mw_RCMT,RR,vs30,sf,Tmax_s,pga,T0_010,T0_025,T0_040,T0_050,T0_070,T0_100,T0_150,T0_200,T0_250,T0_300,T0_350,T0_400,T0_450,T0_500,T0_600,T0_700,T0_750,T0_800,T0_900,T1_000,T1_200,T1_400,T1_600,T1_800,T2_000,T2_500,T3_000,T3_500,T4_000,T4_500,T5_000,T6_000,T7_000,T8_000,T9_000,T10_000,pgv
AL-2016-0010,42.5034,18.387,6.6445,AC.DURR,41.3199,19.4573,3.4604,158.631396152,202,TF,4,0.0471475,0.0471765,0.0488065,0.0497355,0.059194,0.076548,0.122349,0.1105085,0.1704655,0.167457,0.1663075,0.128441,0.116001,0.101103,0.0814265,0.0709235,0.046987,0.041873,0.042915,0.0429555,0.033905,0.030888,0.0230415,0.017581,0.012074,0.009978,0.0057245,0.0032945,0.0021275,0.001283,0.001087,0.0010805,0.000585,0.000488,0.000361,0.000286,0.000233,0.00281862
AL-2016-0010,42.5034,18.387,6.6445,AC.KKS,42.0756,20.4113,3.4604,173.578418915,745,TF,3.33333333333333,0.020675,0.020681,0.0215895,0.023465,0.024423,0.030043,0.0641385,0.049027,0.0559645,0.045823,0.038843,0.0281395,0.025426,0.02417,0.0198455,0.0148295,0.0130395,0.0125025,0.010548,0.008576,0.0071555,0.0048465,0.003393,0.003133,0.00266,0.001964,0.0014495,0.000907,0.0006455,0.000437,0.000384,0.00029,0.000188,0.0001225,9.05e-05,7e-05,5.8e-05,0.0007681175
AL-2016-0010,42.5034,18.387,6.6445,AC.LACI,41.6359,19.7199,3.4604,146.465860092,1490,TF,4,0.0168535,0.016889,0.01773,0.0192025,0.020491,0.0308085,0.037356,0.052416,0.046871,0.0458835,0.039704,0.035662,0.0377845,0.02779,0.0248785,0.017101,0.0101515,0.0081955,0.007129,0.0053205,0.005337,0.004395,0.002744,0.001902,0.0013235,0.0012945,0.001185,0.00091,0.0005645,0.0004985,0.000529,0.000315,0.000199,0.000101,9.1e-05,7.55e-05,6.35e-05,0.0007469875
AT-1996-0001,47.957,16.382,10,OE.RWNA,47.814,16.244,4.633,18.956024257,378,SS,3.33333333333333,5.1967615,5.20745,5.34838,5.59141,6.32728,7.577435,9.80636,13.30595,13.42705,11.03795,6.70242,4.45233,3.32822,2.298205,1.793585,1.113075,0.724977,0.605175,0.525674,0.4297905,0.3742595,0.230712,0.178567,0.134898,0.104523,0.082283,0.05551,0.041462,0.0349925,0.0287545,0.0248545,0.0209845,0.017172,0.014387,0.012117,0.0104905,0.009488,0.156347
AT-1996-0001,47.957,16.382,10,OE.VIE1,48.218,16.362,4.633,29.0593416191,456.5,SS,3.33333333333333,1.563445,1.573335,1.63794,1.840065,1.992605,2.96162,5.621905,3.604075,3.576855,3.88378,3.166455,2.581775,1.817355,1.72374,1.4169,1.249505,1.06364,1.01507,0.903156,0.747895,0.6526175,0.423194,0.269481,0.187537,0.1110355,0.085983,0.051256,0.036059,0.0258625,0.0183465,0.01712,0.01302,0.009975,0.0081675,0.0068015,0.005807,0.0050745,0.0650378
AT-1996-0001,47.957,16.382,10,OE.VIE3,48.191,16.369,4.633,26.0369000954,420,SS,3.33333333333333,1.1353495,1.136645,1.231385,1.423955,1.56058,2.08895,3.77139,2.32514,2.81626,2.88602,1.82098,1.8175,2.018175,1.712865,1.517695,1.12948,0.8101995,0.7725925,0.6888275,0.59509,0.592229,0.346679,0.2412935,0.1626125,0.162346,0.128989,0.056423,0.0450785,0.034488,0.0250645,0.017208,0.013211,0.008554,0.0067495,0.0057375,0.004863,0.004123,0.0443478
AT-1996-0001,47.957,16.382,10,OE.VIE5,48.236,16.29,4.633,31.7704656528,660.7,SS,2,1.8741995,1.887985,1.99503,2.13179,2.346265,3.58201,5.093505,3.281025,2.86222,3.33442,3.23005,1.835495,1.608635,1.407495,1.389535,0.6399385,0.481505,0.4061045,0.350137,0.269143,0.180645,0.146192,0.102852,0.0577875,0.048453,0.0374865,0.0216575,0.015798,0.0122985,0.010273,0.0088115,0.0075365,0.005849,0.0047395,0.003989,0.0034845,0.003119,0.0495105
AT-1996-0001,47.957,16.382,10,OE.WRN2,47.814,16.232,4.633,19.45924607,364.1,SS,3.33333333333333,4.357201,4.368545,4.46847,4.78388,5.15655,6.321625,9.88511,8.514615,8.69868,8.620585,10.87815,8.330345,6.113935,3.90201,2.9309,1.607305,1.077025,0.909071,0.7919735,0.592468,0.456934,0.295882,0.233166,0.1786995,0.1411365,0.128169,0.0788905,0.062324,0.0444755,0.033677,0.0279285,0.023592,0.0197395,0.0157135,0.0128275,0.0109255,0.0095085,0.1532945
AT-1998-0006,47.198,9.6614,10,OE.LFVA,47.267,9.583,3.4604,9.70011578655,544.8,SS,5,1.087959,1.09397,1.504755,2.500235,2.29963,2.784065,2.610475,2.22989,2.339855,1.47396,1.439105,1.057945,0.65456,0.5248165,0.435797,0.303359,0.210897,0.1981935,0.172885,0.1245975,0.104992,0.071181,0.0469695,0.035238,0.0273405,0.0221235,0.014958,0.0112165,0.008977,0.0073525,0.0063765,0.005288,0.0041275,0.0033895,0.0028785,0.002505,0.0022185,0.0330969
DE-1992-0010,47.702,8.287,33,EU.BAW,47.798,7.677,4.3132,46.9696964932,1017.5,NF,3.33333333333333,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864,0.00349155559287864
DE-1992-0010,47.702,8.287,33,EU.BFO,48.331,8.33,4.3132,70.012439101,917.9,NF,3.33333333333333,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436,0.00185822368000436
DE-1992-0010,47.702,8.287,33,EU.DOS,47.62,7.853,4.3132,33.8498575855,657.1,NF,5,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883,0.00653729914964883
